Unidade,Leitura Anterior,Leitura Atual
101T1,"4.34","4.53"
102T1,"21.76","22.23"
103T1,"277.54","291.13"
104T1,"220.8","229.67"
105T1,"201.54","213.57"
201T1,"83.72","83.72"
202T1,"147.04","151.75"
203T1,"152.6","156.64"
204T1,"219.42","230.32"
205T1,"604.14","627.45"
301T1,"112.98","117.93"
302T1,"220.81","235.09"
303T1,340,"348.2"
304T1,"260.32","271.62"
305T1,"338.17","349.53"
401T1,"215.37","234.7"
402T1,"89.37","98.75"
403T1,"351.63","362.3"
404T1,"177.77","184.77"
405T1,"511.24","519.99"
501T1,"286.2","298.2"
502T1,"307.69","327.44"
503T1,"75.7","79.69"
504T1,"115.47","120.42"
505T1,"725.6","755.03"
601T1,"223.18","238.13"
602T1,"33.28","33.69"
603T1,"23.65","24.96"
604T1,"172.31","178.05"
605T1,"296.05","309.08"
701T1,"290.95","317.34"
702T1,"291.67","304.9"
703T1,"286.56","301.63"
704T1,"39.82","47.27"
705T1,"467.28","485.88"
801T1,"302.67","316.68"
802T1,"170.71","175.54"
803T1,"187.14","200.41"
804T1,"195.19","203.28"
805T1,"289.84","302.27"
901T1,"5.65","6.49"
902T1,"110.06","117.07"
903T1,"132.08","138.48"
904T1,"38.01","41.51"
905T1,"454.2","468.48"
1001T1,"13.93","14.11"
1002T1,"54.48","66.31"
1003T1,"60.96","60.98"
1004T1,"111.82","111.88"
1005T1,"27.22","28.04"
1101T1,"12.57","12.85"
1102T1,"405.08","418.92"
1103T1,"11.99","11.99"
1104T1,"257.48","265.1"
1105T1,"109.78","119.94"
1201T1,"410.78","429.12"
1202T1,"173.87","183.88"
1203T1,"271.71","282.61"
1204T1,"247.65","261.87"
1205T1,"8.92","9.7"
1301T1,"12.52","12.66"
1302T1,"284.3","295.83"
1303T1,"98.21","98.23"
1304T1,"140.89","140.99"
1305T1,"201.08","201.89"
1401T1,44,"45.62"
1402T1,"151.04","156.84"
1403T1,"337.14","352.34"
1404T1,"120.51","125.62"
1405T1,"43.82","47.75"
COB1T1,"169.25","177.46"
COB2T1,"209.5","216.89"
COB3T1,"255.21","266.78"
COB4T1,"166.1","183.35"
COB5T1,"24.52","26.6"
101T2L,"310.07","388.07"
102T2L,"216.45","227.08"
103T2L,"20.611","21.463"
104T2L,"27.312","28.901"
105T2L,"162.57","180.76"
201T2L,"199.42","211.2"
202T2L,"115.85","126.46"
203T2L,"40.06","40.39"
204T2L,"17.26","17.3"
205T2L,"163.23","171.2"
301T2L,"274.78","284.6"
302T2L,"222.22","231.79"
303T2L,"339.47","356.37"
304T2L,"37.018","38.568"
305T2L,"245.97","255.63"
401T2L,"71.19","75.73"
402T2L,"154.52","159.36"
403T2L,"208.72","228.71"
404T2L,"272.27","278.38"
405T2L,"73.71","88.72"
501T2L,"204.64","217.53"
502T2L,"199.44","210.34"
503T2L,"215.27","225.4"
504T2L,"316.87",329
505T2L,"409.18","425.76"
601T2L,"94.39","96.1"
602T2L,"251.27","261.97"
603T2L,"241.08","256.87"
604T2L,"206.29","220.49"
605T2L,"206.44","214.95"
701T2L,"196.92","204.61"
702T2L,"2.7","2.74"
703T2L,"141.49","154.24"
704T2L,"223.84","236.49"
705T2L,"215.22","226.13"
801T2L,"363.54","378.06"
802T2L,"110.85","116.12"
803T2L,"228.34","235.89"
804T2L,"127.04","136.1"
805T2L,"44.63","45.42"
901T2L,"149.31","154.47"
902T2L,"210.87","229.98"
903T2L,"94.81","100.14"
904T2L,"312.48","326.08"
905T2L,"218.52","232.5"
1001T2L,"227.37","245.66"
1002T2L,"92.94","102.56"
1003T2L,"191.34","199.22"
1004T2L,"301.51","309.28"
1005T2L,179,"189.4"
1101T2L,"255.35","266.77"
1102T2L,"243.92","261.95"
1103T2L,"99.21","102.73"
1104T2L,"73.93","79.4"
1105T2L,"12.77","13.08"
1201T2L,"496.49","518.39"
1202T2L,"290.34","303.19"
1203T2L,"221.58","231.99"
1204T2L,"190.75","200.44"
1205T2L,"158.42","160.6"
1301T2L,"100.27","110.06"
1302T2L,"155.32","166.33"
1303T2L,"365.18","379.81"
1304T2L,"54.9","56.12"
1305T2L,"367.71","387.68"
1401T2L,"162.25","175.41"
1402T2L,"9.37","9.43"
1403T2L,"37.16","38.45"
1404T2L,"267.17","287.03"
1405T2L,"396.6","454.36"
COB1T2L,"65.12","80.46"
COB2T2L,"114.85","118.88"
COB3T2L,"107.27","108.24"
COB4T2L,"312.85","326.82"
COB5T2L,"21.18","22.55"
101T2S,"247.95","264.43"
102T2S,"206.5","224.33"
201T2S,"206.74","218.33"
202T2S,"177.93","201.48"
301T2S,"36.43","42.35"
302T2S,262,"279.27"
401T2S,"67.58","78.46"
402T2S,"134.68","153.99"
501T2S,"295.25","313.3"
502T2S,"213.72","225.9"
601T2S,"360.56","374.11"
602T2S,"151.46","160.44"
701T2S,"59.86","61.93"
702T2S,"108.72","114.77"
801T2S,"57.61","57.86"
802T2S,"27.71","36.8"
901T2S,"473.5","501.26"
902T2S,"89.65","101.54"
1001T2S,"69.78","77.41"
1002T2S,"37.28","37.28"
1101T2S,"54.61","56.71"
1102T2S,"163.43","168.11"
1201T2S,"15.74","16.21"
1202T2S,"218.81","231.48"
1301T2S,"553.27","574.62"
1302T2S,"343.76","359.2"
1401T2S,"11.81","12.12"
1402T2S,"24.4","25.42"
COB1T2S,1,1
COB2T2S,11,11
